ax,ay,az,mx,my,mz
-0.0644873,0.0841592,-0.982428,-0.05292,0.1687,-0.16758
-0.101128,0.11324,-1.00904,-0.05236,0.16828,-0.17556
-0.115809,0.143185,-1.02257,-0.05068,0.16506,-0.1666
-0.105594,0.146802,-1.02724,-0.04466,0.16282,-0.17388
-0.087426,0.1307,-1.00938,-0.04634,0.16002,-0.16926
-0.0441176,0.0904131,-0.991837,-0.04606,0.16506,-0.1645
-0.0116975,0.0734583,-0.971692,-0.04494,0.16464,-0.168
-0.0104129,0.078236,-0.961239,-0.04438,0.16478,-0.16604
-0.015857,0.0927498,-0.974306,-0.04718,0.1624,-0.16646
-0.0317001,0.112038,-0.988321,-0.0448,0.1589,-0.16772
-0.0672399,0.122009,-1.00345,-0.04256,0.1617,-0.17458
-0.0998436,0.136392,-1.01363,-0.04018,0.16016,-0.16044
-0.117032,0.126831,-0.999763,-0.04242,0.15568,-0.16758
-0.111221,0.120402,-1.01629,-0.03948,0.16086,-0.1652
-0.0959898,0.116426,-1.00979,-0.04032,0.15736,-0.16352
-0.0707878,0.0904656,-1.0002,-0.03962,0.15932,-0.1701
-0.0502346,0.0842864,-0.986991,-0.03808,0.15652,-0.16604
-0.0512134,0.0873484,-0.976717,-0.03906,0.15456,-0.1631
-0.0581256,0.114785,-0.976082,-0.03416,0.1505,-0.16506
-0.0734181,0.109268,-0.996522,-0.03388,0.15344,-0.17192
-0.0796574,0.111287,-1.00195,-0.03108,0.15008,-0.17136
-0.0619181,0.112701,-0.996492,-0.02954,0.1505,-0.1659
-0.0639367,0.0733186,-0.995271,-0.0336,0.15022,-0.17038
-0.0581256,0.0904085,-0.99993,-0.03248,0.14476,-0.1708
-0.0548224,0.0910221,-1.01315,-0.0238,0.14364,-0.16744
-0.0685245,0.101491,-1.0161,-0.02506,0.15022,-0.168
-0.0990484,0.0880677,-1.00471,-0.0245,0.1463,-0.17262
-0.0888329,0.100811,-0.996482,-0.02226,0.14252,-0.16786
-0.0775777,0.0704356,-0.96821,-0.02086,0.14602,-0.16352
-0.0587373,0.0758927,-0.984279,-0.02044,0.14252,-0.16422
-0.0460139,0.0680572,-0.981075,-0.02198,0.14252,-0.16394
-0.029131,0.0587532,-0.980573,-0.02254,0.13944,-0.16268
-0.0116975,0.0590651,-0.985267,-0.02002,0.14126,-0.16408
-0.0324953,0.0459514,-0.986313,-0.02044,0.14462,-0.16352
-0.0457692,0.0536642,-0.977716,-0.01778,0.14238,-0.16478
-0.0696867,0.0771753,-0.991036,-0.0133,0.14028,-0.16646
-0.0671176,0.0720927,-0.98548,-0.01316,0.13986,-0.16786
-0.0722559,0.0712948,-0.991519,-0.01134,0.14084,-0.17038
-0.0517027,0.0770587,-0.990657,-0.01078,0.13874,-0.1652
-0.047849,0.0596045,-0.980093,-0.0105,0.1414,-0.1666
-0.0558011,0.0600306,-0.9805,-0.0077,0.13692,-0.17052
-0.069442,0.0708057,-0.980766,-0.00854,0.13468,-0.1673
-0.0888329,0.0864174,-0.998869,-0.00714,0.13846,-0.16688
-0.106817,0.0898414,-1.00689,-0.01134,0.13902,-0.1673
-0.105594,0.0941291,-1.002,-0.00756,0.1365,-0.1673
-0.0948276,0.0881304,-0.987847,-0.00686,0.13636,-0.16828
-0.0607559,0.076872,-0.964954,-0.00448,0.13552,-0.15974
-0.042466,0.0816553,-0.968732,-0.00252,0.13454,-0.16856
