ax,ay,az
-0.0164795,-0.355652,-0.914429
-0.0189819,-0.356384,-0.914429
-0.020752,-0.355835,-0.915588
-0.0178223,-0.355835,-0.912903
-0.0189209,-0.356812,-0.91394
-0.0199585,-0.355469,-0.914307
-0.0196533,-0.35376,-0.913574
-0.0172119,-0.35376,-0.912109
-0.0180664,-0.354126,-0.913086
-0.0177612,-0.3573,-0.910828
-0.0186768,-0.355896,-0.916138
-0.0189209,-0.355286,-0.915771
-0.0186157,-0.356201,-0.913696
-0.0160522,-0.35675,-0.911987
-0.0179443,-0.356445,-0.914307
-0.019104,-0.354858,-0.914917
-0.0206299,-0.355225,-0.913208
-0.0172119,-0.356079,-0.912598
-0.0150146,-0.356995,-0.913025
-0.0186157,-0.355835,-0.915161
-0.017334,-0.355164,-0.91394
-0.0180054,-0.356323,-0.911011
-0.0158081,-0.354126,-0.913574
-0.0160522,-0.358521,-0.913452
-0.0180054,-0.356323,-0.909119
-0.0194092,-0.356201,-0.916809
-0.0195312,-0.355469,-0.915283
-0.0169678,-0.357056,-0.91272
-0.0153809,-0.355774,-0.913513
-0.0201416,-0.355713,-0.915161
-0.0193481,-0.35498,-0.915466
-0.0172729,-0.356873,-0.912964
-0.0145874,-0.357727,-0.912842
-0.0151978,-0.355408,-0.911499
-0.0217896,-0.356567,-0.914001
-0.020874,-0.354126,-0.913635
-0.0176392,-0.353882,-0.913879
-0.0161133,-0.357361,-0.914429
-0.0185547,-0.356506,-0.914429
-0.0181885,-0.354492,-0.915039
-0.0189819,-0.355652,-0.915405
-0.0165405,-0.356567,-0.9151
-0.0169067,-0.355957,-0.912903
-0.019165,-0.357544,-0.913696
-0.0216064,-0.356079,-0.913818
-0.0195312,-0.357422,-0.914368
-0.0187988,-0.353027,-0.911072
-0.0174561,-0.356445,-0.913818
-0.0183716,-0.355713,-0.915588
-0.0203247,-0.355103,-0.911926
-0.0184326,-0.356445,-0.914917
-0.0311279,-0.35553,-0.91333
-0.0158081,-0.356934,-0.913208
-0.020813,-0.354614,-0.913513
-0.0177002,-0.354675,-0.912781
-0.0170288,-0.355286,-0.912903
-0.0165405,-0.399536,-0.895203
-0.0175781,-0.400269,-0.895691
-0.0189209,-0.398865,-0.892212
-0.0159302,-0.401184,-0.891602
-0.0195312,-0.399048,-0.894653
-0.020813,-0.395874,-0.894409
-0.0175781,-0.401489,-0.891357
-0.0180664,-0.400757,-0.892944
-0.0193481,-0.398193,-0.893738
-0.0184937,-0.39978,-0.894165
-0.0168457,-0.401062,-0.892273
-0.0185547,-0.400452,-0.896729
-0.0184326,-0.398987,-0.894043
-0.0174561,-0.399353,-0.894897
-0.0185547,-0.397339,-0.89325
-0.0189209,-0.397095,-0.896484
-0.017334,-0.400696,-0.893921
-0.0162964,-0.400146,-0.890991
-0.0180054,-0.3974,-0.895874
-0.0233154,-0.400024,-0.895508
-0.0189819,-0.39978,-0.892822
-0.0181885,-0.399658,-0.894043
-0.0185547,-0.401428,-0.895508
-0.0180664,-0.400696,-0.892639
-0.0157471,-0.399353,-0.889648
-0.0170288,-0.401245,-0.891174
-0.0174561,-0.399414,-0.894653
-0.0186157,-0.400024,-0.894653
-0.0192871,-0.398926,-0.893311
-0.0192871,-0.399902,-0.896545
-0.0176392,-0.399536,-0.894653
-0.0211182,-0.399109,-0.897888
-0.0185547,-0.399475,-0.893555
-0.0184326,-0.398743,-0.894348
-0.0182495,-0.399719,-0.891479
-0.0187988,-0.399414,-0.891479
-0.0161133,-0.40271,-0.893799
-0.0148315,-0.399414,-0.891602
-0.0172729,-0.399475,-0.893799
-0.0238647,-0.398499,-0.893127
-0.0162354,-0.400085,-0.891663
-0.0147705,-0.400513,-0.893494
-0.019165,-0.39679,-0.894714
-0.020813,-0.399109,-0.892212
-0.0187988,-0.39856,-0.891541
-0.0166626,-0.402771,-0.893982
-0.017395,-0.400452,-0.895203
-0.019165,-0.398621,-0.890808
-0.0167847,-0.398438,-0.894714
-0.0168457,-0.400757,-0.895264
-0.0163574,-0.402832,-0.890503
-0.015686,-0.39856,-0.896118
-0.0185547,-0.399841,-0.893433
-0.0212402,-0.39978,-0.894653
-0.0168457,-0.399414,-0.894043
-0.017334,-0.401245,-0.896118
-0.0185547,-0.398071,-0.895142
-0.0189209,-0.399048,-0.894653
-0.0181274,-0.399353,-0.892639
-0.0127563,-0.40271,-0.895386
-0.0164185,-0.3974,-0.894409
-0.0223999,-0.398254,-0.894653
-0.0217285,-0.396057,-0.895142
-0.0182495,-0.399597,-0.891296
-0.0163574,-0.400085,-0.894043
-0.019043,-0.399109,-0.891968
-0.0205078,-0.398743,-0.893311
-0.0182495,-0.400757,-0.891052
-0.0152588,-0.400696,-0.891113
-0.0200806,-0.397034,-0.891052
-0.0197144,-0.399597,-0.895691
-0.0199585,-0.399292,-0.895386
-0.0172729,-0.40033,-0.897217
-0.0200195,-0.398621,-0.894409
-0.0177612,-0.399841,-0.892456
-0.0136719,-0.400024,-0.893616
-0.0157471,-0.401428,-0.891846
-0.020813,-0.396912,-0.895996
-0.019043,-0.400085,-0.89447
-0.0140381,-0.402405,-0.893188
-0.0185547,-0.400269,-0.893677
-0.0205078,-0.399475,-0.895691
-0.0180054,-0.397949,-0.89502
-0.0182495,-0.39856,-0.89209
-0.0178223,-0.398926,-0.894714
-0.0197754,-0.394897,-0.893066
-0.0174561,-0.399963,-0.89209
-0.0172729,-0.398621,-0.895813
-0.017334,-0.400146,-0.895081
-0.0177002,-0.398193,-0.89447
-0.0136108,-0.401306,-0.890503
-0.0155029,-0.396118,-0.893677
-0.0221558,-0.399963,-0.893188
-0.0166016,-0.399292,-0.89447
-0.0160522,-0.401306,-0.893188
-0.0197754,-0.396912,-0.897522
-0.020813,-0.396729,-0.895691
-0.0150146,-0.400696,-0.892639
-0.0177002,-0.400452,-0.893127
-0.0213013,-0.398071,-0.896973
-0.0181885,-0.51239,-0.834045
-0.0131226,-0.515015,-0.833435
-0.0162964,-0.51239,-0.836365
-0.0154419,-0.513123,-0.835205
